ID  z_eff   mean    err
1   0.02    0.398   0.065
2   0.02    0.314   0.048
3   0.02    0.428   0.0465
4   0.1     0.37    0.13
5   0.15    0.490   0.145
6   0.17    0.51    0.06
7   0.18    0.36    0.09
8   0.25    0.3512  0.0583
9   0.25    0.471   0.024
10  0.37    0.4602  0.0378
11  0.38    0.44    0.06
12  0.44    0.413   0.08
13  0.59    0.488   0.06
14  0.6     0.39    0.063
15  0.6     0.550   0.120
16  0.73    0.437   0.072
17  0.86    0.48    0.1
18  0.978   0.379   0.176
19  1.230   0.385   0.099
20  1.4     0.482   0.116
21  1.526   0.342   0.07
22  1.944   0.364   0.106
