a_ini          		a_col          		delta_ini      		delta_prime_ini		delta_c        		delta_inf      
1.000000e-03		1.000000e-02		1.686470e-01		1.686470e+02		1.686470e+00		2.449566e+01
1.000000e-03		2.000000e-02		8.432351e-02		8.432351e+01		1.686470e+00		7.649838e+01
1.000000e-03		3.000000e-02		5.621567e-02		5.621567e+01		1.686470e+00		1.550044e+02
1.000000e-03		4.000000e-02		4.216175e-02		4.216175e+01		1.686470e+00		2.595447e+02
1.000000e-03		5.000000e-02		3.372940e-02		3.372940e+01		1.686470e+00		3.898464e+02
1.000000e-03		6.000000e-02		2.810784e-02		2.810784e+01		1.686470e+00		5.457264e+02
1.000000e-03		7.000000e-02		2.409243e-02		2.409243e+01		1.686470e+00		7.270519e+02
1.000000e-03		8.000000e-02		2.108088e-02		2.108088e+01		1.686470e+00		9.337209e+02
1.000000e-03		9.000000e-02		1.873856e-02		1.873856e+01		1.686470e+00		1.165652e+03
1.000000e-03		1.000000e-01		1.686470e-02		1.686470e+01		1.686470e+00		1.422779e+03
1.000000e-03		1.100000e-01		1.533155e-02		1.533155e+01		1.686470e+00		1.705047e+03
1.000000e-03		1.200000e-01		1.405392e-02		1.405392e+01		1.686470e+00		2.012407e+03
1.000000e-03		1.300000e-01		1.297285e-02		1.297285e+01		1.686470e+00		2.344819e+03
1.000000e-03		1.400000e-01		1.204622e-02		1.204622e+01		1.686470e+00		2.702248e+03
1.000000e-03		1.500000e-01		1.124313e-02		1.124313e+01		1.686470e+00		3.084661e+03
1.000000e-03		1.600000e-01		1.054044e-02		1.054044e+01		1.686470e+00		3.492030e+03
1.000000e-03		1.700000e-01		9.920413e-03		9.920413e+00		1.686470e+00		3.924331e+03
1.000000e-03		1.800000e-01		9.369279e-03		9.369279e+00		1.686470e+00		4.381540e+03
1.000000e-03		1.900000e-01		8.876159e-03		8.876159e+00		1.686470e+00		4.863636e+03
1.000000e-03		2.000000e-01		8.432351e-03		8.432351e+00		1.686470e+00		5.370601e+03
1.000000e-03		2.100000e-01		8.030810e-03		8.030810e+00		1.686470e+00		5.902417e+03
1.000000e-03		2.200000e-01		7.665774e-03		7.665774e+00		1.686470e+00		6.459068e+03
1.000000e-03		2.300000e-01		7.332479e-03		7.332479e+00		1.686470e+00		7.040539e+03
1.000000e-03		2.400000e-01		7.026959e-03		7.026959e+00		1.686470e+00		7.646817e+03
1.000000e-03		2.500000e-01		6.745881e-03		6.745881e+00		1.686470e+00		8.277888e+03
1.000000e-03		2.600000e-01		6.486424e-03		6.486424e+00		1.686470e+00		8.933740e+03
1.000000e-03		2.700000e-01		6.246186e-03		6.246186e+00		1.686470e+00		9.614363e+03
1.000000e-03		2.800000e-01		6.023108e-03		6.023108e+00		1.686470e+00		1.031974e+04
1.000000e-03		2.900000e-01		5.815414e-03		5.815414e+00		1.686470e+00		1.104988e+04
1.000000e-03		3.000000e-01		5.621567e-03		5.621567e+00		1.686470e+00		1.180475e+04
1.000000e-03		3.100000e-01		5.440226e-03		5.440226e+00		1.686470e+00		1.258435e+04
1.000000e-03		3.200000e-01		5.270219e-03		5.270219e+00		1.686470e+00		1.338868e+04
1.000000e-03		3.300000e-01		5.110516e-03		5.110516e+00		1.686470e+00		1.421772e+04
1.000000e-03		3.400000e-01		4.960206e-03		4.960206e+00		1.686470e+00		1.507147e+04
1.000000e-03		3.500000e-01		4.818486e-03		4.818486e+00		1.686470e+00		1.594992e+04
1.000000e-03		3.600000e-01		4.684639e-03		4.684639e+00		1.686470e+00		1.685306e+04
1.000000e-03		3.700000e-01		4.558028e-03		4.558028e+00		1.686470e+00		1.778089e+04
1.000000e-03		3.800000e-01		4.438079e-03		4.438079e+00		1.686470e+00		1.873339e+04
1.000000e-03		3.900000e-01		4.324283e-03		4.324283e+00		1.686470e+00		1.971058e+04
1.000000e-03		4.000000e-01		4.216175e-03		4.216175e+00		1.686470e+00		2.071243e+04
1.000000e-03		4.100000e-01		4.113342e-03		4.113342e+00		1.686470e+00		2.173894e+04
1.000000e-03		4.200000e-01		4.015405e-03		4.015405e+00		1.686470e+00		2.279012e+04
1.000000e-03		4.300000e-01		3.922024e-03		3.922024e+00		1.686470e+00		2.386594e+04
1.000000e-03		4.400000e-01		3.832887e-03		3.832887e+00		1.686470e+00		2.496642e+04
1.000000e-03		4.500000e-01		3.747712e-03		3.747712e+00		1.686470e+00		2.609153e+04
1.000000e-03		4.600000e-01		3.666240e-03		3.666240e+00		1.686470e+00		2.724129e+04
1.000000e-03		4.700000e-01		3.588234e-03		3.588234e+00		1.686470e+00		2.841568e+04
1.000000e-03		4.800000e-01		3.513480e-03		3.513480e+00		1.686470e+00		2.961470e+04
1.000000e-03		4.900000e-01		3.441776e-03		3.441776e+00		1.686470e+00		3.083834e+04
1.000000e-03		5.000000e-01		3.372940e-03		3.372940e+00		1.686470e+00		3.208661e+04
1.000000e-03		5.100000e-01		3.306804e-03		3.306804e+00		1.686470e+00		3.335950e+04
1.000000e-03		5.200000e-01		3.243212e-03		3.243212e+00		1.686470e+00		3.465700e+04
1.000000e-03		5.300000e-01		3.182019e-03		3.182019e+00		1.686470e+00		3.597911e+04
1.000000e-03		5.400000e-01		3.123093e-03		3.123093e+00		1.686470e+00		3.732582e+04
1.000000e-03		5.500000e-01		3.066309e-03		3.066309e+00		1.686470e+00		3.869715e+04
1.000000e-03		5.600000e-01		3.011554e-03		3.011554e+00		1.686470e+00		4.009307e+04
1.000000e-03		5.700000e-01		2.958720e-03		2.958720e+00		1.686470e+00		4.151359e+04
1.000000e-03		5.800000e-01		2.907707e-03		2.907707e+00		1.686470e+00		4.295871e+04
1.000000e-03		5.900000e-01		2.858424e-03		2.858424e+00		1.686470e+00		4.442842e+04
1.000000e-03		6.000000e-01		2.810784e-03		2.810784e+00		1.686470e+00		4.592271e+04
1.000000e-03		6.100000e-01		2.764705e-03		2.764705e+00		1.686470e+00		4.744160e+04
1.000000e-03		6.200000e-01		2.720113e-03		2.720113e+00		1.686470e+00		4.898506e+04
1.000000e-03		6.300000e-01		2.676937e-03		2.676937e+00		1.686470e+00		5.055311e+04
1.000000e-03		6.400000e-01		2.635110e-03		2.635110e+00		1.686470e+00		5.214573e+04
1.000000e-03		6.500000e-01		2.594570e-03		2.594570e+00		1.686470e+00		5.376293e+04
1.000000e-03		6.600000e-01		2.555258e-03		2.555258e+00		1.686470e+00		5.540471e+04
1.000000e-03		6.700000e-01		2.517120e-03		2.517120e+00		1.686470e+00		5.707105e+04
1.000000e-03		6.800000e-01		2.480103e-03		2.480103e+00		1.686470e+00		5.876196e+04
1.000000e-03		6.900000e-01		2.444160e-03		2.444160e+00		1.686470e+00		6.047744e+04
1.000000e-03		7.000000e-01		2.409243e-03		2.409243e+00		1.686470e+00		6.221748e+04
1.000000e-03		7.100000e-01		2.375310e-03		2.375310e+00		1.686470e+00		6.398209e+04
1.000000e-03		7.200000e-01		2.342320e-03		2.342320e+00		1.686470e+00		6.577125e+04
1.000000e-03		7.300000e-01		2.310233e-03		2.310233e+00		1.686470e+00		6.758497e+04
1.000000e-03		7.400000e-01		2.279014e-03		2.279014e+00		1.686470e+00		6.942325e+04
1.000000e-03		7.500000e-01		2.248627e-03		2.248627e+00		1.686470e+00		7.128607e+04
1.000000e-03		7.600000e-01		2.219040e-03		2.219040e+00		1.686470e+00		7.317345e+04
1.000000e-03		7.700000e-01		2.190221e-03		2.190221e+00		1.686470e+00		7.508538e+04
1.000000e-03		7.800000e-01		2.162141e-03		2.162141e+00		1.686470e+00		7.702186e+04
1.000000e-03		7.900000e-01		2.134772e-03		2.134772e+00		1.686470e+00		7.898288e+04
1.000000e-03		8.000000e-01		2.108088e-03		2.108088e+00		1.686470e+00		8.096845e+04
1.000000e-03		8.100000e-01		2.082062e-03		2.082062e+00		1.686470e+00		8.297855e+04
1.000000e-03		8.200000e-01		2.056671e-03		2.056671e+00		1.686470e+00		8.501320e+04
1.000000e-03		8.300000e-01		2.031892e-03		2.031892e+00		1.686470e+00		8.707239e+04
1.000000e-03		8.400000e-01		2.007703e-03		2.007703e+00		1.686470e+00		8.915612e+04
1.000000e-03		8.500000e-01		1.984083e-03		1.984083e+00		1.686470e+00		9.126439e+04
1.000000e-03		8.600000e-01		1.961012e-03		1.961012e+00		1.686470e+00		9.339718e+04
1.000000e-03		8.700000e-01		1.938471e-03		1.938471e+00		1.686470e+00		9.555451e+04
1.000000e-03		8.800000e-01		1.916443e-03		1.916443e+00		1.686470e+00		9.773637e+04
1.000000e-03		8.900000e-01		1.894910e-03		1.894910e+00		1.686470e+00		9.994275e+04
1.000000e-03		9.000000e-01		1.873856e-03		1.873856e+00		1.686470e+00		1.021737e+05
1.000000e-03		9.100000e-01		1.853264e-03		1.853264e+00		1.686470e+00		1.044291e+05
1.000000e-03		9.200000e-01		1.833120e-03		1.833120e+00		1.686470e+00		1.067091e+05
1.000000e-03		9.300000e-01		1.813409e-03		1.813409e+00		1.686470e+00		1.090136e+05
1.000000e-03		9.400000e-01		1.794117e-03		1.794117e+00		1.686470e+00		1.113426e+05
1.000000e-03		9.500000e-01		1.775232e-03		1.775232e+00		1.686470e+00		1.136961e+05
1.000000e-03		9.600000e-01		1.756740e-03		1.756740e+00		1.686470e+00		1.160742e+05
1.000000e-03		9.700000e-01		1.738629e-03		1.738629e+00		1.686470e+00		1.184768e+05
1.000000e-03		9.800000e-01		1.720888e-03		1.720888e+00		1.686470e+00		1.209038e+05
1.000000e-03		9.900000e-01		1.703505e-03		1.703505e+00		1.686470e+00		1.233554e+05
1.000000e-03		1.000000e+00		1.686470e-03		1.686470e+00		1.686470e+00		1.258316e+05
