a_ini          		a_col          		delta_ini      		delta_prime_ini		delta_c        		delta_inf      
1.000000e-03		1.000000e-02		1.686471e-01		1.686471e+02		1.686471e+00		2.449566e+01
1.000000e-03		2.000000e-02		8.432379e-02		8.432379e+01		1.686471e+00		7.649838e+01
1.000000e-03		3.000000e-02		5.621629e-02		5.621629e+01		1.686471e+00		1.550044e+02
1.000000e-03		4.000000e-02		4.216284e-02		4.216284e+01		1.686471e+00		2.595447e+02
1.000000e-03		5.000000e-02		3.373108e-02		3.373108e+01		1.686471e+00		3.898464e+02
1.000000e-03		6.000000e-02		2.811023e-02		2.811023e+01		1.686471e+00		5.457264e+02
1.000000e-03		7.000000e-02		2.409568e-02		2.409568e+01		1.686471e+00		7.270519e+02
1.000000e-03		8.000000e-02		2.108510e-02		2.108510e+01		1.686470e+00		9.337209e+02
1.000000e-03		9.000000e-02		1.874389e-02		1.874389e+01		1.686468e+00		1.165652e+03
1.000000e-03		1.000000e-01		1.687127e-02		1.687127e+01		1.686466e+00		1.422779e+03
1.000000e-03		1.100000e-01		1.533948e-02		1.533948e+01		1.686463e+00		1.705047e+03
1.000000e-03		1.200000e-01		1.406334e-02		1.406334e+01		1.686459e+00		2.012407e+03
1.000000e-03		1.300000e-01		1.298388e-02		1.298388e+01		1.686453e+00		2.344819e+03
1.000000e-03		1.400000e-01		1.205899e-02		1.205899e+01		1.686447e+00		2.702248e+03
1.000000e-03		1.500000e-01		1.125778e-02		1.125778e+01		1.686440e+00		3.084661e+03
1.000000e-03		1.600000e-01		1.055708e-02		1.055708e+01		1.686431e+00		3.492030e+03
1.000000e-03		1.700000e-01		9.939180e-03		9.939180e+00		1.686421e+00		3.924331e+03
1.000000e-03		1.800000e-01		9.390293e-03		9.390293e+00		1.686409e+00		4.381540e+03
1.000000e-03		1.900000e-01		8.899543e-03		8.899543e+00		1.686396e+00		4.863636e+03
1.000000e-03		2.000000e-01		8.458229e-03		8.458229e+00		1.686380e+00		5.370601e+03
1.000000e-03		2.100000e-01		8.059304e-03		8.059304e+00		1.686363e+00		5.902417e+03
1.000000e-03		2.200000e-01		7.697005e-03		7.697005e+00		1.686344e+00		6.459068e+03
1.000000e-03		2.300000e-01		7.366568e-03		7.366568e+00		1.686323e+00		7.040539e+03
1.000000e-03		2.400000e-01		7.064025e-03		7.064025e+00		1.686300e+00		7.646817e+03
1.000000e-03		2.500000e-01		6.786041e-03		6.786041e+00		1.686275e+00		8.277888e+03
1.000000e-03		2.600000e-01		6.529796e-03		6.529796e+00		1.686247e+00		8.933740e+03
1.000000e-03		2.700000e-01		6.292884e-03		6.292884e+00		1.686217e+00		9.614363e+03
1.000000e-03		2.800000e-01		6.073247e-03		6.073247e+00		1.686185e+00		1.031974e+04
1.000000e-03		2.900000e-01		5.869105e-03		5.869105e+00		1.686150e+00		1.104988e+04
1.000000e-03		3.000000e-01		5.678921e-03		5.678921e+00		1.686112e+00		1.180475e+04
1.000000e-03		3.100000e-01		5.501351e-03		5.501351e+00		1.686072e+00		1.258435e+04
1.000000e-03		3.200000e-01		5.335222e-03		5.335222e+00		1.686028e+00		1.338868e+04
1.000000e-03		3.300000e-01		5.179501e-03		5.179501e+00		1.685983e+00		1.421772e+04
1.000000e-03		3.400000e-01		5.033277e-03		5.033277e+00		1.685934e+00		1.507147e+04
1.000000e-03		3.500000e-01		4.895742e-03		4.895742e+00		1.685882e+00		1.594992e+04
1.000000e-03		3.600000e-01		4.766179e-03		4.766179e+00		1.685827e+00		1.685306e+04
1.000000e-03		3.700000e-01		4.643947e-03		4.643947e+00		1.685770e+00		1.778089e+04
1.000000e-03		3.800000e-01		4.528472e-03		4.528472e+00		1.685709e+00		1.873339e+04
1.000000e-03		3.900000e-01		4.419239e-03		4.419239e+00		1.685645e+00		1.971058e+04
1.000000e-03		4.000000e-01		4.315784e-03		4.315784e+00		1.685578e+00		2.071243e+04
1.000000e-03		4.100000e-01		4.217689e-03		4.217689e+00		1.685508e+00		2.173894e+04
1.000000e-03		4.200000e-01		4.124573e-03		4.124573e+00		1.685435e+00		2.279012e+04
1.000000e-03		4.300000e-01		4.036094e-03		4.036094e+00		1.685359e+00		2.386594e+04
1.000000e-03		4.400000e-01		3.951936e-03		3.951936e+00		1.685279e+00		2.496642e+04
1.000000e-03		4.500000e-01		3.871815e-03		3.871815e+00		1.685197e+00		2.609153e+04
1.000000e-03		4.600000e-01		3.795469e-03		3.795469e+00		1.685111e+00		2.724129e+04
1.000000e-03		4.700000e-01		3.722658e-03		3.722658e+00		1.685022e+00		2.841568e+04
1.000000e-03		4.800000e-01		3.653164e-03		3.653164e+00		1.684930e+00		2.961470e+04
1.000000e-03		4.900000e-01		3.586784e-03		3.586784e+00		1.684834e+00		3.083834e+04
1.000000e-03		5.000000e-01		3.523333e-03		3.523333e+00		1.684736e+00		3.208661e+04
1.000000e-03		5.100000e-01		3.462638e-03		3.462638e+00		1.684634e+00		3.335950e+04
1.000000e-03		5.200000e-01		3.404541e-03		3.404541e+00		1.684529e+00		3.465700e+04
1.000000e-03		5.300000e-01		3.348894e-03		3.348894e+00		1.684422e+00		3.597911e+04
1.000000e-03		5.400000e-01		3.295562e-03		3.295562e+00		1.684311e+00		3.732582e+04
1.000000e-03		5.500000e-01		3.244418e-03		3.244418e+00		1.684197e+00		3.869715e+04
1.000000e-03		5.600000e-01		3.195344e-03		3.195344e+00		1.684080e+00		4.009307e+04
1.000000e-03		5.700000e-01		3.148231e-03		3.148231e+00		1.683961e+00		4.151359e+04
1.000000e-03		5.800000e-01		3.102976e-03		3.102976e+00		1.683838e+00		4.295871e+04
1.000000e-03		5.900000e-01		3.059483e-03		3.059483e+00		1.683713e+00		4.442842e+04
1.000000e-03		6.000000e-01		3.017664e-03		3.017664e+00		1.683585e+00		4.592271e+04
1.000000e-03		6.100000e-01		2.977435e-03		2.977435e+00		1.683454e+00		4.744160e+04
1.000000e-03		6.200000e-01		2.938718e-03		2.938718e+00		1.683321e+00		4.898506e+04
1.000000e-03		6.300000e-01		2.901438e-03		2.901438e+00		1.683185e+00		5.055311e+04
1.000000e-03		6.400000e-01		2.865527e-03		2.865527e+00		1.683047e+00		5.214573e+04
1.000000e-03		6.500000e-01		2.830921e-03		2.830921e+00		1.682906e+00		5.376293e+04
1.000000e-03		6.600000e-01		2.797557e-03		2.797557e+00		1.682763e+00		5.540471e+04
1.000000e-03		6.700000e-01		2.765380e-03		2.765380e+00		1.682618e+00		5.707105e+04
1.000000e-03		6.800000e-01		2.734333e-03		2.734333e+00		1.682470e+00		5.876196e+04
1.000000e-03		6.900000e-01		2.704367e-03		2.704367e+00		1.682320e+00		6.047744e+04
1.000000e-03		7.000000e-01		2.675433e-03		2.675433e+00		1.682168e+00		6.221748e+04
1.000000e-03		7.100000e-01		2.647486e-03		2.647486e+00		1.682015e+00		6.398209e+04
1.000000e-03		7.200000e-01		2.620482e-03		2.620482e+00		1.681859e+00		6.577125e+04
1.000000e-03		7.300000e-01		2.594380e-03		2.594380e+00		1.681701e+00		6.758497e+04
1.000000e-03		7.400000e-01		2.569142e-03		2.569142e+00		1.681542e+00		6.942325e+04
1.000000e-03		7.500000e-01		2.544731e-03		2.544731e+00		1.681380e+00		7.128607e+04
1.000000e-03		7.600000e-01		2.521113e-03		2.521113e+00		1.681217e+00		7.317345e+04
1.000000e-03		7.700000e-01		2.498255e-03		2.498255e+00		1.681053e+00		7.508538e+04
1.000000e-03		7.800000e-01		2.476125e-03		2.476125e+00		1.680887e+00		7.702186e+04
1.000000e-03		7.900000e-01		2.454693e-03		2.454693e+00		1.680720e+00		7.898288e+04
1.000000e-03		8.000000e-01		2.433931e-03		2.433931e+00		1.680551e+00		8.096845e+04
1.000000e-03		8.100000e-01		2.413813e-03		2.413813e+00		1.680381e+00		8.297855e+04
1.000000e-03		8.200000e-01		2.394313e-03		2.394313e+00		1.680210e+00		8.501320e+04
1.000000e-03		8.300000e-01		2.375407e-03		2.375407e+00		1.680037e+00		8.707239e+04
