a_ini          		a_col          		delta_ini      		delta_prime_ini		delta_c        		delta_inf      
1.000000e-03		1.000000e-02		1.686469e-01		1.686469e+02		1.686470e+00		2.449566e+01
1.000000e-03		2.000000e-02		8.432317e-02		8.432317e+01		1.686470e+00		7.649838e+01
1.000000e-03		3.000000e-02		5.621492e-02		5.621492e+01		1.686469e+00		1.550044e+02
1.000000e-03		4.000000e-02		4.216044e-02		4.216044e+01		1.686469e+00		2.595447e+02
1.000000e-03		5.000000e-02		3.372737e-02		3.372737e+01		1.686469e+00		3.898464e+02
1.000000e-03		6.000000e-02		2.810493e-02		2.810493e+01		1.686469e+00		5.457264e+02
1.000000e-03		7.000000e-02		2.408849e-02		2.408849e+01		1.686470e+00		7.270519e+02
1.000000e-03		8.000000e-02		2.107575e-02		2.107575e+01		1.686471e+00		9.337209e+02
1.000000e-03		9.000000e-02		1.873208e-02		1.873208e+01		1.686473e+00		1.165652e+03
1.000000e-03		1.000000e-01		1.685672e-02		1.685672e+01		1.686476e+00		1.422779e+03
1.000000e-03		1.100000e-01		1.532191e-02		1.532191e+01		1.686479e+00		1.705047e+03
1.000000e-03		1.200000e-01		1.404246e-02		1.404246e+01		1.686484e+00		2.012407e+03
1.000000e-03		1.300000e-01		1.295942e-02		1.295942e+01		1.686491e+00		2.344819e+03
1.000000e-03		1.400000e-01		1.203065e-02		1.203065e+01		1.686498e+00		2.702248e+03
1.000000e-03		1.500000e-01		1.122528e-02		1.122528e+01		1.686507e+00		3.084661e+03
1.000000e-03		1.600000e-01		1.052013e-02		1.052013e+01		1.686518e+00		3.492030e+03
1.000000e-03		1.700000e-01		9.897488e-03		9.897488e+00		1.686531e+00		3.924331e+03
1.000000e-03		1.800000e-01		9.343578e-03		9.343578e+00		1.686545e+00		4.381540e+03
1.000000e-03		1.900000e-01		8.847518e-03		8.847518e+00		1.686562e+00		4.863636e+03
1.000000e-03		2.000000e-01		8.400606e-03		8.400606e+00		1.686581e+00		5.370601e+03
1.000000e-03		2.100000e-01		7.995795e-03		7.995795e+00		1.686603e+00		5.902417e+03
1.000000e-03		2.200000e-01		7.627321e-03		7.627321e+00		1.686627e+00		6.459068e+03
1.000000e-03		2.300000e-01		7.290420e-03		7.290420e+00		1.686653e+00		7.040539e+03
1.000000e-03		2.400000e-01		6.981122e-03		6.981122e+00		1.686683e+00		7.646817e+03
1.000000e-03		2.500000e-01		6.696092e-03		6.696092e+00		1.686716e+00		8.277888e+03
1.000000e-03		2.600000e-01		6.432508e-03		6.432508e+00		1.686751e+00		8.933740e+03
1.000000e-03		2.700000e-01		6.187965e-03		6.187965e+00		1.686791e+00		9.614363e+03
1.000000e-03		2.800000e-01		5.960401e-03		5.960401e+00		1.686834e+00		1.031974e+04
1.000000e-03		2.900000e-01		5.748037e-03		5.748037e+00		1.686880e+00		1.104988e+04
1.000000e-03		3.000000e-01		5.549331e-03		5.549331e+00		1.686931e+00		1.180475e+04
1.000000e-03		3.100000e-01		5.362940e-03		5.362940e+00		1.686986e+00		1.258435e+04
1.000000e-03		3.200000e-01		5.187688e-03		5.187688e+00		1.687045e+00		1.338868e+04
1.000000e-03		3.300000e-01		5.022540e-03		5.022540e+00		1.687109e+00		1.421772e+04
1.000000e-03		3.400000e-01		4.866582e-03		4.866582e+00		1.687177e+00		1.507147e+04
1.000000e-03		3.500000e-01		4.719006e-03		4.719006e+00		1.687250e+00		1.594992e+04
1.000000e-03		3.600000e-01		4.579095e-03		4.579095e+00		1.687326e+00		1.685306e+04
1.000000e-03		3.700000e-01		4.446315e-03		4.446315e+00		1.687395e+00		1.778089e+04
1.000000e-03		3.800000e-01		4.335574e-03		4.335574e+00		1.687478e+00		1.873339e+04
1.000000e-03		3.900000e-01		4.231567e-03		4.231567e+00		1.687540e+00		1.971058e+04
1.000000e-03		4.000000e-01		4.133163e-03		4.133163e+00		1.687578e+00		2.071243e+04
1.000000e-03		4.100000e-01		4.039948e-03		4.039948e+00		1.687596e+00		2.173894e+04
1.000000e-03		4.200000e-01		3.951549e-03		3.951549e+00		1.687597e+00		2.279012e+04
1.000000e-03		4.300000e-01		3.867629e-03		3.867629e+00		1.687582e+00		2.386594e+04
1.000000e-03		4.400000e-01		3.787881e-03		3.787881e+00		1.687552e+00		2.496642e+04
1.000000e-03		4.500000e-01		3.712028e-03		3.712028e+00		1.687510e+00		2.609153e+04
1.000000e-03		4.600000e-01		3.639814e-03		3.639814e+00		1.687456e+00		2.724129e+04
1.000000e-03		4.700000e-01		3.571007e-03		3.571007e+00		1.687392e+00		2.841568e+04
1.000000e-03		4.800000e-01		3.505392e-03		3.505392e+00		1.687318e+00		2.961470e+04
1.000000e-03		4.900000e-01		3.442774e-03		3.442774e+00		1.687234e+00		3.083834e+04
1.000000e-03		5.000000e-01		3.382971e-03		3.382971e+00		1.687143e+00		3.208661e+04
1.000000e-03		5.100000e-01		3.325816e-03		3.325816e+00		1.687043e+00		3.335950e+04
1.000000e-03		5.200000e-01		3.271156e-03		3.271156e+00		1.686937e+00		3.465700e+04
1.000000e-03		5.300000e-01		3.218847e-03		3.218847e+00		1.686824e+00		3.597911e+04
1.000000e-03		5.400000e-01		3.168757e-03		3.168757e+00		1.686704e+00		3.732582e+04
1.000000e-03		5.500000e-01		3.120764e-03		3.120764e+00		1.686579e+00		3.869715e+04
1.000000e-03		5.600000e-01		3.074753e-03		3.074753e+00		1.686449e+00		4.009307e+04
1.000000e-03		5.700000e-01		3.030617e-03		3.030617e+00		1.686313e+00		4.151359e+04
1.000000e-03		5.800000e-01		2.988258e-03		2.988258e+00		1.686173e+00		4.295871e+04
1.000000e-03		5.900000e-01		2.947582e-03		2.947582e+00		1.686028e+00		4.442842e+04
1.000000e-03		6.000000e-01		2.908504e-03		2.908504e+00		1.685879e+00		4.592271e+04
1.000000e-03		6.100000e-01		2.870942e-03		2.870942e+00		1.685726e+00		4.744160e+04
1.000000e-03		6.200000e-01		2.834821e-03		2.834821e+00		1.685569e+00		4.898506e+04
1.000000e-03		6.300000e-01		2.800069e-03		2.800069e+00		1.685409e+00		5.055311e+04
1.000000e-03		6.400000e-01		2.766620e-03		2.766620e+00		1.685246e+00		5.214573e+04
1.000000e-03		6.500000e-01		2.734411e-03		2.734411e+00		1.685079e+00		5.376293e+04
1.000000e-03		6.600000e-01		2.703382e-03		2.703382e+00		1.684909e+00		5.540471e+04
1.000000e-03		6.700000e-01		2.673479e-03		2.673479e+00		1.684737e+00		5.707105e+04
1.000000e-03		6.800000e-01		2.644648e-03		2.644648e+00		1.684562e+00		5.876196e+04
1.000000e-03		6.900000e-01		2.616842e-03		2.616842e+00		1.684385e+00		6.047744e+04
1.000000e-03		7.000000e-01		2.590012e-03		2.590012e+00		1.684205e+00		6.221748e+04
1.000000e-03		7.100000e-01		2.564115e-03		2.564115e+00		1.684023e+00		6.398209e+04
1.000000e-03		7.200000e-01		2.539110e-03		2.539110e+00		1.683839e+00		6.577125e+04
1.000000e-03		7.300000e-01		2.514957e-03		2.514957e+00		1.683654e+00		6.758497e+04
1.000000e-03		7.400000e-01		2.491619e-03		2.491619e+00		1.683466e+00		6.942325e+04
1.000000e-03		7.500000e-01		2.469061e-03		2.469061e+00		1.683277e+00		7.128607e+04
1.000000e-03		7.600000e-01		2.447249e-03		2.447249e+00		1.683086e+00		7.317345e+04
1.000000e-03		7.700000e-01		2.426151e-03		2.426151e+00		1.682894e+00		7.508538e+04
1.000000e-03		7.800000e-01		2.405739e-03		2.405739e+00		1.682701e+00		7.702186e+04
1.000000e-03		7.900000e-01		2.385983e-03		2.385983e+00		1.682506e+00		7.898288e+04
1.000000e-03		8.000000e-01		2.366855e-03		2.366855e+00		1.682310e+00		8.096845e+04
1.000000e-03		8.100000e-01		2.348332e-03		2.348332e+00		1.682113e+00		8.297855e+04
1.000000e-03		8.200000e-01		2.330387e-03		2.330387e+00		1.681916e+00		8.501320e+04
1.000000e-03		8.300000e-01		2.312998e-03		2.312998e+00		1.681717e+00		8.707239e+04
1.000000e-03		8.400000e-01		2.296142e-03		2.296142e+00		1.681518e+00		8.915612e+04
1.000000e-03		8.500000e-01		2.279799e-03		2.279799e+00		1.681318e+00		9.126439e+04
1.000000e-03		8.600000e-01		2.263949e-03		2.263949e+00		1.681117e+00		9.339718e+04
1.000000e-03		8.700000e-01		2.248572e-03		2.248572e+00		1.680916e+00		9.555451e+04
1.000000e-03		8.800000e-01		2.233650e-03		2.233650e+00		1.680714e+00		9.773637e+04
1.000000e-03		8.900000e-01		2.219165e-03		2.219165e+00		1.680512e+00		9.994275e+04
1.000000e-03		9.000000e-01		2.205102e-03		2.205102e+00		1.680310e+00		1.021737e+05
1.000000e-03		9.100000e-01		2.191444e-03		2.191444e+00		1.680108e+00		1.044291e+05
1.000000e-03		9.200000e-01		2.178177e-03		2.178177e+00		1.679905e+00		1.067091e+05
1.000000e-03		9.300000e-01		2.165285e-03		2.165285e+00		1.679702e+00		1.090136e+05
1.000000e-03		9.400000e-01		2.152755e-03		2.152755e+00		1.679499e+00		1.113426e+05
1.000000e-03		9.500000e-01		2.140574e-03		2.140574e+00		1.679296e+00		1.136961e+05
1.000000e-03		9.600000e-01		2.128730e-03		2.128730e+00		1.679093e+00		1.160742e+05
1.000000e-03		9.700000e-01		2.117209e-03		2.117209e+00		1.678891e+00		1.184768e+05
1.000000e-03		9.800000e-01		2.106001e-03		2.106001e+00		1.678688e+00		1.209038e+05
1.000000e-03		9.900000e-01		2.095095e-03		2.095095e+00		1.678485e+00		1.233554e+05
1.000000e-03		1.000000e+00		2.084480e-03		2.084480e+00		1.678283e+00		1.258316e+05
